Codigo;Descri豫o;Embalagem;EAN;Estoque
933;USO OBRIG PLUS 260 ML GRATIS MINI USO;UN;7898625792935;94,00;
934;SHAMPOO NO METAL EQUALIZER LT REFIL;UN;;0,00;
935;DEEP RECONSTRUCTION 500 ML REFIL;UN;;0,00;
936;INTENSIVE NUTRITION MIRACLE1000 ML REFIL;UN;;12,00;
937;LIPIDIC MIRACLE 650 ML REFIL;UN;;20,00;
938;SHAMPOO BIDIMENSIONAL MIRA 1000 ML REFIL;UN;;17,00;
939;SHAMPOO INFUSION 1000 ML REFIL;UN;;0,00;
940;CONDICIONADOR INFUSION 1000 ML REFIL;UN;;12,00;
941;CONDICIONADOR EQUILIBRIO 1000 ML REFIL;UN;;0,00;
942;SHAMPOO EQUILIBRIO 1000 ML REFIL;UN;;0,00;
943;SH NO METAL STOP DAMAGE LITRO;UN;7898625794441;17,00;
944;PROTECTOR FLUID STOP DAMAGE 500 ML;UN;7898625794434;17,00;
945;INTENSIVE MASK STOP DAMAGE 650 ML;UN;7898625792959;17,00;
946;TONALIZANTE 8.3 60G;UN;;-4,00;
947;TONALIZANTE 9.03 60G;UN;;-5,00;
948;COLORACAO 12.89 60G;UN;;-2,00;
949;TONALIZANTE 9.7 60 GR;UN;;0,00;
950;TONALIZANTE 7.72 60 GR;UN;;-4,00;
951;COLORACAO 7.72 60 GR;UN;;0,00;
974;MINIATURA COND USO OBRI  30 ML;UN;;288,00;
953;TONALIZANTE 9.72 60 GR;UN;;-5,00;
955;TONALIZANTE 7.23 60 GR;UN;;-3,00;
956;TONALIZANTE 8.72 60 GR;UN;;-5,00;
957;TONALIZANTE 9.34 60 GR;UN;;-5,00;
958;TONALIZANTE 8.35 60 GR;UN;;-5,00;
959;TONALIZANTE 6.73  60G;UN;;-5,00;
961;TONALIZANTE 5.73  60G;UN;;-2,00;
962;TONALIZANTE 6.34  60G;UN;;-1,00;
963;TONALIZANTE 7.34  60G;UN;;-6,00;
964;COLORACAO 7.34  60G;UN;;-2,00;
965;TONALIZANTE 6.43  60G;UN;;0,00;
966;COLORACAO 6.43 60G;UN;;-2,00;
967;TONALIZANTE 7.44  60G;UN;;-2,00;
968;COLORACAO 7.44  60G;UN;;0,00;
969;COLORACAO 7.43  60G;UN;;-1,00;
970;TONALIZANTE 66.62  60G;UN;;-1,00;
971;COLORACAO 66.62 60G;UN;;-3,00;
972;TONALIZANTE 6.64  60G;UN;;0,00;
973;COLORA플O 9.72 60 GR;UN;;0,00;
1;SHAMPOO EQUILIBRIO 300 ML;UN;7898947943084;75,00;
2;CONDICIONADOR EQUILIBIRIO 300 ML;UN;7898947943091;50,00;
3;SHAMPOO ULTRA HIDRATANTE 300 ML;UN;7898947943046;32,00;
4;CONDICIONADOR ULTRA HIDRATANTE 300 ML;UN;7898947943053;38,00;
5;SHAMPOO DISCIPLINANTE 300 ML;UN;7898947943060;0,00;
6;CONDICIONADOR DISCIPLINANTE 300 ML;UN;7898947943077;2,00;
7;MASCARA SPECIFIC 180 GR;UN;7898947943817;22,00;
8;MASCARA BLOND 180 GR;UN;7898947943800;14,00;
9;SHAMPOO COLOR 300 ML;UN;7898625790153;21,00;
10;CONDICIONADOR COLOR 300ML;UN;7898625790269;13,00;
11;SHAMPOO BLOND 300 ML;UN;7898352514114;20,00;
12;CONDICIONADOR BLOND 300 ML;UN;7898352514121;15,00;
13;SHAMPOO COLOR 1000 ML;UN;;0,00;
14;CONDICIONADOR COLOR 1000 ML;UN;;0,00;
15;SHAMPOO BLOND HAIR 1000 ML;UN;;0,00;
16;MASCARA BLOND LT;UN;;0,00;
17;SHAMPOO STRUCTURE 300 ML;UN;7898947943190;1,00;
18;CONDICIONADOR STRUCTURE 300 ML;UN;7898947943206;20,00;
19;SHAMPOO THERAPY 300 ML;UN;7898352514466;97,00;
20;SHAMPOO THERAPY 1000 ML;UN;7898352515302;16,00;
21;SHAMPOO ULTRA PLUS 300 ML;UN;7898947942308;41,00;
22;CONDICIONADOR ULTRA PLUS 300 ML;UN;7898947942315;39,00;
24;CONDICIONADOR MIRACLE SUMMER 300 ML;UN;7898947943183;5,00;
25;SHAMPOO CURLY 300 ML;UN;7898947942605;10,00;
26;CONDICIONADOR CURLY 300 ML;UN;7898947942582;16,00;
27;SHAMPOO ABRALE 300 ML;UN;;0,00;
28;CONDICIONADOR ABRALE 300 ML;UN;;0,00;
29;HAIR PROTECTOR 250 ML;UN;7898947943770;54,00;
30;USO OBRIGATORIO 260 ML;UN;7898947943848;197,00;
31;SHAMPOO BASIC 2400 ML;UN;78989347342285;24,00;
32;CONDICIONADOR BASIC 2400 ML;UN;7898947942292;9,00;
33;GEL 180 GR TRUSS;UN;7898352519164;4,00;
34;GLOSS SHINE 90 ML;UN;7898352512073;0,00;
35;REFIL DO GLOSS SHINE 60 ML;UN;;0,00;
36;FLUID SHINE 120 ML;UN;789625790405;12,00;
37;REFIL DO FLUID SHINE 130 ML;UN;;0,00;
38;CURLY LIGHT 250 ML;UN;7898947942568;-2,00;
39;CURLY FIX 250 ML;UN;7898947942551;-4,00;
40;SCULPT 500 ML;UN;7898352513353;35,00;
41;POMADA FIX 55 GR;UN;7898625790344;17,00;
42;POMADA LISS 55 GR;UN;;0,00;
43;FLUID FIX 250 ML;UN;7898352519157;38,00;
44;BRUSH QUERATINA 250 ML;UN;7898947943749;22,00;
45;BODY E VOLUME 250 ML;UN;7898947943732;14,00;
46;DAY BAY DAY 250 ML;UN;7898947943756;72,00;
47;ELASTIC FORM MOUSSE 160 ML;UN;;0,00;
48;INSTANT REPAIR 30 GR;UN;;0,00;
49;SCRUB TERAPY 170 GR;UN;7898352519348;0,00;
50;SHAMPOO ALEXANDRE HERCHOVIT 300 ML;UN;;0,00;
51;CONDICIONADOR ALEXANDRE HERCHOVIT 300 ML;UN;;0,00;
52;MASCARA ALEXANDRE HERCHOVIT 180 GR;UN;;0,00;
53;SHAMPOO MIRACLE 300 ML;UN;7898352519584;89,00;
54;CONDICIONADOR MIRACLE 300 ML;UN;7898352517979;-9,00;
55;MASCARA MIRACLE 180 GR;UN;7898947943794;55,00;
56;SHAMPOO DEEP CLEANING 1000 ML;UN;;0,00;
57;SHAMPOO BIDIMENSIONAL  1000 ML;UN;;0,00;
58;SHAMPOO ANTI-RESIDUO 1000 ML TRUSS;UN;;0,00;
59;LIPIDIC 650 ML;UN;;-3,00;
60;PROTEIC 650 ML;UN;;0,00;
61;INTESIVE NUTRITION 1000 ML;UN;;0,00;
62;PROTECTOR PLUS 650 ML;UN;;0,00;
63;VOLUME THERAPY 650 ML;UN;;0,00;
64;AMINO 250 ML;UN;;1,00;
65;QUERATINA TERMO ACTIVE 650 ML;UN;7898947343671;17,00;
66;SCRUB TERAPY ALEXANDRE HERCHOVIT 170 GR;UN;;0,00;
67;SHAMPOO DEEP CLEANIG ALEX.HERC.1000 ML;UN;;0,00;
68;SHAMPOO BIDIMENSIONAL ALEX.HERC.1000 ML;UN;;0,00;
69;SHAMPOO ANTI-RESIDUO ALEX.HERC.1000 ML;UN;;0,00;
70;LIPIDIC ALEX. HERC. 650 ML;UN;;0,00;
71;PROTEIC ALEX. HERC. 650 ML;UN;;0,00;
72;INTENSIVE NUTRITION ALEX.HERC.1000 ML;UN;;0,00;
73;PROTECTOR PLUS ALEX. HERC. 650 ML;UN;;0,00;
74;VOLUME THERAPY ALEX.HERC. 650 ML;UN;;0,00;
75;AMINO ALEX.HERC. 200 ML;UN;;0,00;
76;SHAMPOO BIDIMENSIONAL ABRALE 1000 ML;UN;;0,00;
77;LIPIDIC ABRALE 650 ML;UN;;0,00;
78;INTENSIVE NUTRITION ABRALE 1000 ML;UN;;0,00;
79;R.T. TRADICIONAL 300 GR;UN;;0,00;
80;R.T. BLOND 300 GR;UN;;0,00;
